age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
29,F,450,Célibataire,0,false,6324 ZP 42
44,M,925,En Couple,0,false,3225 EV 17
25,M,1026,En Couple,4,false,4412 YK 31
18,M,503,Seule,2,false,2095 TQ 54
29,Masculin,1278,Seule,1,false,6594 LZ 79
36,F,433,Célibataire,0,false,6745 MX 22
82,F,169,En Couple,0,false,9865 LT 84
27,F,483,En Couple,0,true,4720 KU 95
78,M,223,En Couple,1,false,4318 SE 37
19,M,249,Célibataire,0,false,5955 MV 58
21,M,1279,En Couple,1,false,630 HQ 78
19,M,924,En Couple,2,true,2944 GG 15
45,F,216,En Couple,3,false,1907 IK 95
70,M,458,Célibataire,0,false,4570 UR 19
24,M,152,Seule,2,false,3678 KR 13
41,M,822,En Couple,3,false,5441 DS 79
27,Homme,585,En Couple,4,true,1451 JM 14
26,F,414,Célibataire,0,false,3343 KH 45
47,M,500,En Couple,1,false,282 WH 86
55,M,466,En Couple,2,false,6359 QK 95
71,M,474,En Couple,1,true,5681 FW 67
39,M,556,En Couple,0,false,9590 JB 87
36,M,561,En Couple,4,false,2997 FB 14
23,M,443,En Couple,2,false,5124 BJ 65
25,M,494,En Couple,2,false,8576 TR 62
76,M,200,Célibataire,0,false,449 KF 45
50,M,1126,En Couple,4,false,41 BD 58
57,M,1061,En Couple,2,false,5402 NA 57
49,F,991,En Couple,1,false,5809 OU 37
19,F,424,En Couple,2,false,6707 DU 46
28,M,569,En Couple,2,false,7570 FQ 44
34,F,1328,Célibataire,0,false,8123 ZS 88
23,M,593,Marié(e),3,true,1856 XV 57
59,M,996,En Couple,4,false,9245 PD 28
39,M,1320,En Couple,4,true,6201 AR 53
65,F,1148,En Couple,3,false,9803 WV 75
42,M,457,Célibataire,0,false,230 NI 69
42,M,830,Célibataire, ,false,7443 XH 71
29,M,173,En Couple,0,true,6250 VT 61
43,Homme,451,En Couple,2,false,6412 AR 96
27,F,511,Célibataire,0,false,6575 BL 25
31,M,423,En Couple,3,false,6375 LH 54
28,M,575,Célibataire,0,false,7710 UF 67
40,M,896,En Couple,4,true,7744 CR 88
50,M,485,Célibataire,0,false,8997 FK 28
30,M,181,En Couple,2,false,7483 BY 14
83,F,596,Célibataire,0,false,5984 YG 11
21,M,218,En Couple,0,false,7065 PG 54
72,M,419,En Couple,4,false,4738 OJ 12
27,M,580,En Couple,0,false,4099 AX 39
53,F,592,En Couple,3,false,2986 XR 80
54,F,201,Célibataire,0,false,4571 ZU 26
58,F,473,En Couple,0,false,97 OH 44
36,M,179,Célibataire,0,false,3839 WB 16
51,M,1164,En Couple,0,false,5496 CA 33
63,M,462,Célibataire,0,false,5847 CJ 24
55,M,911,En Couple,1,false,2748 XZ 75
22,M,248,En Couple,1,false,6372 BB 11
67,M,1384,Célibataire,0,false,4100 NU 60
46,M,948,En Couple,1,false,9345 RU 71
47,M,1301,En Couple,4,false,1678 EE 75
51,M,436,En Couple,3,false,1587 GH 54
78,F,246,Célibataire,0,false,7239 TX 30
70,F,176,En Couple,1,true,346 LU 72
82,M,903,En Couple,1,false,6402 QU 22
28,F,584,En Couple,0,false,9056 WJ 92
19,F,223,En Couple,1,false,125 NX 95
44,M,215,En Couple,0,false,6438 QR 14
20,M,1255,En Couple,2,false,2625 PK 12
19,M,414,En Couple,3,false,3067 ZB 66
75,F,554,Célibataire,0,false,4848 GY 57
50,M,1394,En Couple,1,false,4614 WN 43
75,M,789,Célibataire,0,false,7847 QA 49
45,M,1125,Seule,1,false,4313 PP 91
32,M,158,Célibataire,0,false,9627 AF 18
18,M,206,En Couple,2,false,9550 AT 18
30,M,244,Célibataire,0,false,7646 NK 35
34,M,941,Célibataire,0,false,9355 EX 36
66,F,441,Célibataire,0,false,6168 RV 59
29,M,470,En Couple,3,false,3359 AG 97
44,M,558,Seule,1,false,2559 OA 36
29,M,444,En Couple,1,false,9268 OS 39
20,M,1281,En Couple,2,false,9618 ML 94
43,M,832,En Couple,4,true,5245 CI 79
23,M,1359,En Couple,2,false,5303 AF 39
59,F,1058,Seule,3,false,7719 OI 83
57,M,187,Célibataire,0,false,8130 CT 43
20,M,1294,En Couple,1,false,473 AR 19
37,M,239,En Couple,3,false,9231 CV 56
36,F,568,Célibataire,0,false,4133 GT 53
22,M,445,Célibataire,0,false,6468 GL 85
37,M,408,Célibataire,0,false,5383 VE 98
27,M,194,Célibataire,0,false,3266 SU 49
26,M,485,Seule,2,false,6066 EB 48
27,F,1193,Célibataire,0,false,9091 DP 95
25,F,223,En Couple,2,true,6040 DE 73
27,M,208,Célibataire,0,false,491 DY 72
39,F,554,En Couple,1,false,5537 WE 67
25,M,1171,En Couple,0,false,7768 NI 39
42,F,1112,Célibataire,0,false,2591 QN 88
26,M,199,En Couple,0,true,6499 TZ 15
29,M,486,Célibataire,0,false,1490 JS 42
55,F,909,Célibataire,0,false,8430 OS 23
36,F,1060,En Couple,0,false,512 VT 31
27,M,545,En Couple,4,false,9365 GJ 95
57,F,495,En Couple,0,false,1338 SU 94
18,M,481,En Couple,3,false,3295 SM 30
23,M,1295,En Couple,0,false,9227 RZ 90
29,M,498,Célibataire,0,false,4557 NI 89
21, ,404,En Couple,0,false,1209 EE 62
48,M,456,En Couple,3,false,1719 HI 92
26,M,463,En Couple,1,false,1012 CW 75
24,M,835,En Couple,3,false,2931 BI 17
44,M,186,En Couple,2,false,3092 OJ 96
47,F,419,En Couple,0,false,8959 GI 26
52,M,1028,En Couple,0,false,5854 WI 82
51,M,501,Célibataire,0,false,4404 AU 72
29,F,456,En Couple,1,false,8557 YV 38
19,M,512,En Couple,2,false,9635 IB 12
41,M,1032,En Couple,4,false,1978 SQ 97
30,F,566,Seule,3,false,5225 RE 12
48,Homme,222,En Couple,1,true,2837 CM 85
66,M,1083,En Couple,1,true,4316 JD 70
64,M,451,Célibataire,0,false,5659 XL 87
43,M,1275,Célibataire,0,false,3404 YD 65
57,M,1321,En Couple,1,false,2304 WA 40
18,M,190,Célibataire,0,false,549 ZI 56
52,F,1292,En Couple,3,false,8996 FX 29
64,M,468,En Couple,0,false,8410 FI 19
43,M,1090,En Couple,4,true,1296 QX 62
41,F,1173,En Couple,4,false,4809 ZM 57
56,F,1095,Seule,2,false,2295 LK 58
84,M,444,En Couple,4,false,5947 RO 86
24,F,547,En Couple,3,true,87 ZB 49
36,M,166,En Couple,2,false,7810 SG 60
21,M,1213,Célibataire,0,false,2263 YS 60
?,F,584,En Couple,1,false,4026 DZ 82
32,M,158,En Couple,1,false,8393 MP 51
66,M,587,En Couple,3,false,5834 TH 94
84,F,463,En Couple,4,false,1766 LU 89
29,M,237,Marié(e),0,true,2002 ZR 15
55,F,406,En Couple,1,false,4230 AT 81
61,M,206,Célibataire,0,false,9757 HT 80
61,M,227,En Couple,1,false,6071 EB 18
18,M,1238,Seule,3,false,5198 SO 73
49,M,815,En Couple,4,false,723 ZK 61
55,M,868,En Couple,4,false,1524 MP 92
48,M,583,Célibataire,0,false,4909 AH 53
28,M,736,En Couple,0,false,2151 EL 14
23,F,436,En Couple,0,false,3553 IO 60
38,F,448,En Couple,0,true,9018 AB 64
82,M,1305,En Couple,0,false,5209 MZ 56
78,F,507,Célibataire,0,false,8105 NX 39
74,M,923,En Couple,3,false,8628 YE 50
28,M,923,En Couple,1,false,5354 BT 10
27,M,965,En Couple,1,false,398 OW 49
58,F,963,En Couple,1,false,6301 PC 15
31,M,509,En Couple,1,false,2988 KG 67
66,M,1199,En Couple,1,false,2654 VT 58
83,M,428,Célibataire,0,false,4559 KC 39
20,F,851,En Couple,0,false,5231 KG 41
46,M,512,En Couple,4,false,4686 FV 21
53,M,597,En Couple,0,true,880 FI 94
34,M,175,Célibataire,0,false,3758 JV 32
62,M,490,En Couple,4,true,5225 CZ 57
47,F,209,En Couple,3,false,3771 DX 21
25,M,577,En Couple,3,true,764 IU 78
59,M,161,En Couple,2,true,205 KX 38
53,M,766,En Couple,1,false,6117 OS 11
72,F,1098,En Couple,1,false,5590 CP 80
40,M,1181,Célibataire,0,false,9835 SE 47
49,F,1037,En Couple,3,false,6896 LE 39
84,M,1074,En Couple,0,false,4030 BZ 89
33,F,1240,Célibataire,0,false,3202 HR 27
28,M,478,En Couple,3,false,6760 LZ 16
23,F,1290,En Couple,3,false,2921 CN 53
23,M,867,En Couple,4,true,2590 IU 14
21,F,723,Célibataire,0,false,8960 XG 35
79,M,573,En Couple,3,false,8462 FB 24
52,M,194,Célibataire,0,false,3642 RP 95
55,F,441,En Couple,0,false,3857 DL 48
53,M,1251,En Couple,2,true,8628 EU 24
29,F,178,En Couple,1,false,4343 FY 81
63,M,185,En Couple,2,false,9382 FC 71
64,F,574,Seul,0,false,8799 TT 89
40,M,876,En Couple,1,false,8944 TM 58
59,F,580,En Couple,0,false,2158 GM 20
80,F,560,Célibataire,0,false,4047 NA 80
42,F,464,En Couple,3,true,1861 LE 73
52,F,217,En Couple,0,false,1943 FQ 81
22,M,560,En Couple,1,false,9789 KA 37
29,F,570,En Couple,1,false,6712 II 60
34,F,447,Célibataire,0,false,1131 GN 48
63,F,522,Célibataire,0,false,2426 WR 85
29,M,712,En Couple,1,false,4702 MO 37
84,M,1190,En Couple,2,false,4562 RV 78
26,F,189,En Couple,2,false,4014 AL 48
20,M,1204,Célibataire,0,false,8301 IH 94
38,F,226,En Couple,0,true,1757 AJ 61
20,F,785,En Couple,1,false,3938 UT 74
53,M,534,En Couple,3,true,2935 PL 73
23,M,784,Célibataire,0,false,8354 MZ 76
80,F,1018,En Couple,2,false,4851 GC 50
69,M,463,En Couple,1,false,6169 QA 76
20,M,514,En Couple,1,false,1601 QD 89
24,M,1145,En Couple,4,false,7116 SY 33
31,M,508,Célibataire,0,false,187 WA 48
34,F,495,En Couple, ,false,297 LP 10
50,F,484,Célibataire,0,false,5606 EJ 27
47,F,172,En Couple,2,false,3212 AT 81
44,M,1345,Célibataire,0,false,352 WN 17
20,M,494,En Couple,1,false,262 YL 90
28,M,454,En Couple,4,false,5121 KN 83
60,F,1329,En Couple,2,true,8214 XP 89
27,M,213,Célibataire,0,false,2588 ZT 85
27,M,497,En Couple,2,false,8690 DQ 10
64,M,507,En Couple,2,true,7052 AK 33
35,M,449,En Couple,3,true,6908 YP 10
23,F,156,En Couple,4,false,137 WF 80
42,M,787,Célibataire,0,false,9535 NQ 57
38,F,151,En Couple,2,false,946 FY 56
30,M,556,En Couple,1,false,2160 LH 22
38,M,226,Célibataire,0,false,1299 TD 91
75,F,202,En Couple,0,false,2335 MY 42
25,M,773,En Couple,0,false,5710 KS 13
63,M,1398,Seule,3,false,6565 UY 82
73,F,229,Célibataire,0,false,2995 OK 69
79,M,1074,En Couple,0,false,6870 PP 17
29,F,1234,En Couple,1,false,5385 FH 13
41,M,1014,En Couple,1,true,8318 EW 55
53,M,210,Célibataire,0,false,8148 NR 56
19,M,440,Célibataire,0,false,2933 TJ 63
55,M,887,Célibataire,0,false,9103 LE 42
62,M,436,En Couple,0,true,6269 KO 55
22,M,909,En Couple,2,false,1841 WB 75
43,F,415,En Couple,0,true,6400 TQ 53
22,F,1374,Célibataire,0,false,8794 VT 96
65,M,483,En Couple,0,false,9908 WN 10
45,M,565,En Couple,4,false,2788 SO 28
47,M,211,Célibataire,0,false,9320 GH 95
53,F,404,Célibataire,0,false,9028 UF 25
39,F,556,En Couple,0,true,1878 BE 77
51,M,539,En Couple,0,false,7047 YN 54
35,M,545,Seule,2,false,8801 IZ 17
61,M,443,En Couple,3,false,3447 QY 40
58,M,1035,Seule,3,false,8694 CC 98
49,M,476,Célibataire,0,false,8422 FS 63
25,M,440,En Couple,0,false,1276 ZP 85
25,M,561,En Couple,3,false,2096 JI 56
67,F,201,Célibataire,0,false,4629 NE 52
46,M,241,Célibataire,0,false,4554 YV 11
84,F,1218,En Couple,1,true,9949 NM 86
20,M,590,En Couple,2,true,7815 WR 76
57,M,496,En Couple,0,false,3704 ZY 46
19,M,802,En Couple,4,true,4863 ZJ 27
56,M,1183,Célibataire,0,false,1941 JR 48
32,M,766,Célibataire,0,false,2311 AY 96
75,M,569,Célibataire,0,false,7919 OJ 44
76,M,435,En Couple,1,false,8446 CP 83
33,F,443,Célibataire,0,false,5448 KU 62
51,F,1256,Célibataire,0,false,5531 OE 93
47,M,195,Célibataire,0,false,5245 DQ 13
49,M,458,En Couple,1,false,1682 KX 59
78,F,244,Célibataire,0,false,919 GS 46
56,F,406,En Couple,2,false,894 YS 65
74,M,486,Célibataire,0,false,8278 JI 86
65,F,985,En Couple,1,false,1013 GA 94
40,F,571,Célibataire,0,false,2981 KV 53
18,F,589,En Couple,1,false,8889 XY 42
68,F,1368,Célibataire,0,false,6603 IC 55
24,F,1273,En Couple,3,true,6931 MY 55
81,M,404,Célibataire,0,false,8694 KY 50
65,M,458,En Couple,0,true,840 QF 38
84,M,422,En Couple,1,true,5199 ML 51
26,Masculin,418,En Couple,1,false,3766 KH 41
65,M,551,En Couple,2, ,3498 IY 87
45,M,1216,Célibataire,0,false,8917 TZ 87
33,M,586,En Couple,1,false,5364 IX 54
82,F,491,En Couple,1,false,4071 CV 47
24,M,503,En Couple,1,false,8901 EA 54
28,M,472,En Couple,3,false,9674 JI 92
20,F,712,Célibataire,0,false,2190 WJ 20
62,M,405,En Couple,1,true,8498 IZ 66
55,M,505,Célibataire,0,false,2793 KE 63
78,F,1101,En Couple,4,false,9969 HM 91
53,M,499,En Couple,3,false,3502 NI 86
34,M,502,En Couple,3,false,2705 QP 88
50,F,1173,En Couple,0,true,4874 CW 54
40,M,1316,En Couple,1,false,5991 SY 63
38,M,447,En Couple,2,false,8567 RJ 81
28,M,856,En Couple,2,false,5791 MC 96
24,F,156,Célibataire,0,false,7336 GB 56
29,Femme,413,En Couple,0,false,6324 IQ 94
28,M,238,En Couple,0,false,1675 KP 47
61,M,1343,En Couple,0,false,5638 KF 75
56,M,405,Célibataire,0,false,8375 OK 57
69,M,579,En Couple,2,false,3251 LX 84
18,F,920,Célibataire,0,false,4365 TV 35
58,F,769,En Couple,3,false,1681 YX 10
51,M,583,Célibataire,?,false,6153 DU 87
18,M,231,En Couple,2,false,3279 BI 35
57,M,521,Célibataire,0,false,4864 RE 30
61,F,463,En Couple,2,true,5273 WI 57
62,M,538,En Couple,1,false,3553 LI 45
53,M,552,En Couple,1,false,1955 ZW 75
20,F,518,En Couple,2,true,454 ET 34
34,M,549,Célibataire,0,false,9050 IM 78
53,F,1235,En Couple,3,false,354 YS 81
19,F,439,En Couple,0,false,8504 KP 13
58,M,1093,En Couple,0,false,4113 PT 32
29,M,519,En Couple,0,false,1743 JN 61
51,M,453,En Couple,2,false,8621 PG 96
28,F,459,En Couple,0,false,3658 XD 63
82,M,799,Célibataire,0,false,4597 AQ 69
24,F,959,En Couple,2,true,849 CU 12
32,M,153,En Couple,2,false,2485 MD 59
55,Homme,576,En Couple,2,false,6947 SU 13
20,M,1335,En Couple,1,false,1490 IQ 54
34,M,453,En Couple,0,false,6731 OY 64
32,M,164,En Couple,4,true,1805 IW 48
65,M,579,En Couple,4,false,541 TN 10
52,M,237,En Couple,4,false,7997 EL 73
23,M,486,En Couple,0,true,8023 VG 89
28,F,563,En Couple,0,false,823 IH 22
23,M,475,En Couple,0,false,1395 QA 64
27,F,473,En Couple,2,false,1031 EG 58
20,M,468,En Couple,1,false,3617 CQ 87
38,F,410,En Couple,1,false,438 MO 20
34,F,1104,En Couple,4,false,5055 QA 46
39,F,239,En Couple,0,false,1571 RY 98
20,Homme,174,En Couple,1,false,1986 PW 96
55,M,493,En Couple,4,false,9724 HC 73
73,F,582,En Couple,1,false,8492 WK 86
27,M,182,Célibataire,0,false,7492 NW 60
45,M,512,En Couple,0,false,1430 ZH 62
80,F,1133,En Couple,2,false,2556 NK 17
57,M,456,Célibataire,0,false,8772 JH 74
83,M,702,Seule,2,false,9052 JM 39
30,F,216,En Couple,2,false,9094 EI 65
32,M,169,Célibataire,0,false,5976 GE 92
71,M,1346,En Couple,2,false,7698 VN 88
63,F,524,Célibataire,0,false,2973 NO 76
76,M,206,Célibataire,0,false,1597 MH 30
29,M,501,Célibataire,0,false,7042 QK 37
46,M,1063,Seule,3,false,6721 UO 75
72,F,529,En Couple,1,true,8874 RM 55
55,M,1245,En Couple,0,false,2358 JD 15
54,M,944,En Couple,0,false,1086 TT 51
29,F,1031,Célibataire,0,false,2875 KS 98
24,M,519,En Couple,?,false,3109 WX 47
21,M,191,En Couple,1,false,1082 SX 10
20,F,480,En Couple,1,true,878 YO 52
50,M,994,En Couple,1,false,2809 UF 49
83,M,206,Célibataire,0,false,9250 YG 30
70,Homme,486,Célibataire,0,false,5174 FL 90
39,M,747,Célibataire,0,false,8756 UD 68
29,M,1214,En Couple,2,false,7752 XU 82
20,M,533,En Couple,0,false,6546 SU 83
31,F,183,En Couple,2,false,1154 JZ 96
56,Féminin,1052,Célibataire,0,false,7635 XQ 17
66,F,438,En Couple,3,false,2497 YJ 57
60,M,1180,En Couple,2,false,9320 DP 76
18,M,416,En Couple,2,false,6874 VC 92
49,F,465,En Couple,1,false,3693 EJ 86
34,F,159,En Couple,3,false,6863 VK 61
20,M,467,En Couple,0,true,3158 OT 89
68,M,1366,Célibataire,0,false,8889 GX 48
18,M,501,En Couple,3,false,9428 RM 76
77,M,572,En Couple,3,false,8316 IY 29
51,F,466,Seule,3,false,8080 SB 91
44,M,1177,Célibataire,0,false,2999 VH 62
77,M,482,En Couple,3,false,7372 XQ 81
56,M,794,Célibataire,0,false,6579 HR 78
22,M,580,En Couple,4,false,967 RB 24
18,F,517,En Couple,2,false,7009 KY 36
64,F,233,En Couple,2,true,3767 UQ 39
41,M,1091,En Couple,3,false,4655 BA 31
50,M,1112,Célibataire,0,false,9262 JT 76
30,M,891,Célibataire,0,false,5505 GH 12
38,M,537,Seule,2,false,6215 CU 47
46,F,572,Célibataire,0,false,6201 XR 53
45,M,1387,En Couple,4,false,855 YG 64
35,F,474,En Couple,3,false,6465 VX 90
21,F,749,En Couple,4,true,3854 RS 65
47,M,199,En Couple,2,false,4316 GI 98
25,M,1229,En Couple,3,false,6821 OP 30
36,F,1349,En Couple,1,true,523 LF 35
68,F,232,En Couple,2,false,6576 JE 42
73,M,906,En Couple,4,false,3748 SD 52
30,M,499,En Couple,2,false,5515 WS 78
23,F,956,Célibataire,0,false,7338 AZ 49
71,F,1074,En Couple,0,false,1086 MT 97
53,M,401,Célibataire,0,false,9754 LJ 40
55,M,575,En Couple,3,false,971 IS 69
58,M,1267,En Couple,2,false,2409 UH 32
53,Féminin,964,En Couple,2,false,7564 IM 98
53,M,1079,En Couple,1,false,4504 ZF 74
50,M,1274,En Couple,4,true,7959 PZ 66
43,M,589,Célibataire,0,false,7090 KL 14
56,M,199,En Couple,0,true,2764 TV 43
38,M,174,Célibataire,0,false,1738 NC 28
25,F,595,En Couple,4,false,99 WE 51
57,M,484,En Couple,3,true,7920 MK 49
81,M,482,En Couple,3,false,1743 QT 18
66,M,192,En Couple,3,false,5082 IB 82
26,F,156,En Couple,3,false,1551 DF 45
23,M,577,En Couple,2,true,4300 TQ 27
47,M,998,Célibataire,0,false,3882 RB 36
30,M,1275,Célibataire,0,false,690 NA 50
31,F,1176,En Couple,3,false,7008 TF 94
36,F,545,En Couple,3,false,6931 CX 12
28,M,570,En Couple,0,false,4477 ZR 86
66,M,159,En Couple,1,true,4958 WO 95
37,M,522,En Couple,1,false,8663 QQ 56
18,M,194,En Couple,0,false,9869 MP 15
24,M,905,Célibataire,0,false,8605 QM 63
18,M,418,Célibataire, ,false,7334 WR 34
77,F,421,En Couple,1,false,4695 PL 25
43,M,224,En Couple,0,false,7622 HB 46
82,M,1162,En Couple,2,false,6570 FX 27
19,M,156,En Couple,0,false,6102 CO 81
19,F,821,En Couple,4,true,1795 AE 58
57,M,557,En Couple,2,false,8184 IW 75
34,M,1136,En Couple,0,false,8649 WA 55
57,M,514,En Couple,4,false,5193 OI 61
78,M,438,En Couple,1,false,9021 XK 11
28,M,934,En Couple,2,false,2798 HZ 53
25,F,416,En Couple,4,false,8378 WB 71
47,M,586, ,1,false,1976 JB 78
47,F,489,Seule,1,false,7911 PV 17
39,F,494,En Couple,2,false,5746 TS 74
24,F,573,En Couple,3,false,8513 HQ 76
32,M,576,En Couple,2,false,3103 PX 22
75,M,533,En Couple,2,false,2932 MI 47
32,M,995,En Couple,2,true,9854 QM 87
21,M,576,En Couple,3,false,8033 UL 43
47,M,819,En Couple,3,false,4616 MI 84
55,M,428,En Couple,2,false,1462 TL 28
31,M,579,Célibataire,0,false,4350 UD 75
73,M,570,En Couple,0,true,6811 YH 21
40,M,417,En Couple,2,false,2525 NL 79
18,M,588,En Couple,2,false,3809 WN 34
54,M,945,En Couple,3,false,9051 JY 72
19,M,528,En Couple,3,false,3027 SH 19
53,M,186,En Couple,4,true,3785 HG 14
70,M,1093,En Couple,2,false,9814 RW 61
20,M,493,Célibataire,0,false,9840 EK 57
59,M,404,Seule,2,false,7962 LL 53
74,M,435,En Couple,1,false,4742 NQ 39
40,M,208,En Couple,2,false,6952 HL 69
63,M,841, ,3,false,24 ML 32
24,F,451,En Couple,3,false,8611 FH 75
25,M,537,En Couple,2,false,4223 AS 40
74,M,595,Célibataire,0,false,185 BA 33
36,M,477,En Couple,1,true,8253 IP 58
28,M,245,En Couple,0,true,3761 QU 36
46,M,213,En Couple,4,true,2863 PP 15
50,F,421,Seule,2,false,5837 ZM 77
49,F,486,En Couple,3,true,2010 TV 33
48,M,790,En Couple,1,true,4967 IX 28
55,F,1314,Célibataire,0,false,2255 IT 85
63,M,400,En Couple,4,false,8740 NZ 44
37,F,828,En Couple,3,false,1048 WH 84
57,M,1227,Célibataire,0,false,6134 UG 29
66,M,159,Célibataire,0,false,9243 NY 45
25,F,1066,En Couple,2,false,3923 GB 97
22,M,569,En Couple,0,false,1492 KU 12
59,M,1342,En Couple,4,true,6721 AR 24
35,Féminin,557,En Couple,0,false,4140 AY 37
38,M,832,En Couple,0,true,3212 KD 88
52,M,231,Célibataire,0,false,6918 OG 34
40,F,191,Célibataire,0,false,6107 VN 96
47,F,477,En Couple,3,false,1230 GW 91
79,F,187,Célibataire,0,false,8768 ZI 73
79,F,581,Célibataire,0,false,8026 WL 43
31,F,804,En Couple,2,false,6646 KV 30
41,F,455,En Couple,0,false,8251 RY 96
24,M,416,En Couple,2,false,4019 ZI 12
40,M,405,Seule,1,false,794 MX 20
56,M,560,En Couple,0,false,6805 SQ 74
45,M,587,Célibataire,0,false,8813 DZ 19
50,M,470,Célibataire,0,false,8503 SE 76
50,M,197,En Couple,0,false,7489 SJ 78
61,F,935,En Couple,4,false,8058 BB 15
39,M,750,En Couple,0,false,8175 AB 58
55,M,203,En Couple,2,false,6094 JZ 79
27,M,1134,Célibataire,0,false,377 PI 54
22,F,1379,En Couple,4,false,8888 NQ 37
35,F,514,En Couple,0,false,2347 NA 18
72,M,926,En Couple,2,false,5211 KT 66
78,F,1069,En Couple,0,false,5388 JF 56
29,M,174,Célibataire,0,false,8690 AN 11
32,M,1184,En Couple,0,false,5052 RG 90
21,M,1083,En Couple,0,false,4737 YI 95
83,M,406,En Couple,0,false,805 XE 46
40,M,498,Célibataire,0,false,3784 QP 61
69,M,163,En Couple,1,false,1244 JW 95
40,M,1398,Célibataire,0,false,1618 HH 73
29,F,1166,En Couple,3,false,5711 JH 40
39,F,582,Célibataire,0,false,9616 NL 28
31,F,447,En Couple,1,false,9079 EF 49
78,M,427,Célibataire,0,false,4880 LG 93
63,M,535,En Couple,0,false,7669 QG 76
26,M,1392,En Couple,0,false,1945 NS 80
29,F,444,Seule,1,false,7333 NI 10
45,M,497,En Couple,0,false,78 LT 71
33,M,816,En Couple,2,false,7135 JR 30
26,M,246,En Couple,0,false,248 WY 14
19,F,203,Célibataire,0,false,2819 MR 77
81,F,1005,En Couple,3,false,5326 DM 52
56,M,838,En Couple,1,false,42 XD 59
25,M,237,En Couple,4,true,2671 CG 72
59,M,476,Célibataire,0,false,3770 ZZ 17
51,F,188,Seule,2,false,6644 ZX 69
27,M,505,En Couple,0,false,2064 QW 82
33,M,507,Célibataire,0,false,6496 AK 34
39,F,431,En Couple,1,true,5701 WA 83
83,M,573,En Couple,0,false,865 EI 79
58,M,210,Célibataire,0,false,1866 XW 38
32,M,436,En Couple,2,true,8014 AX 33
54,Femme,1182,En Couple,3,false,5790 YI 44
19,F,1013,Seule,1,false,8504 BL 49
39,M,771,Seule,3,false,4789 CO 89
31,F,418,En Couple,4,false,7691 PG 94
68,M,970,Célibataire,0,false,7488 LB 65
57,M,202,En Couple,0,false,8540 DP 91
22,M,476,Célibataire,0,false,7001 LG 73
69,M,522,En Couple,3,false,8122 DK 61
24,M,519,Seule,2,false,1605 OK 61
39,M,1127,En Couple,4,false,6366 LD 36
