age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
23,F,168,Célibataire,0,false,8440 TJ 80
29,M,549,En Couple,2,false,9262 QC 23
46,M,590,En Couple,1,false,9504 SP 57
21,F,499,En Couple,3,false,5594 GT 92
44,M,543,En Couple,3,false,479 UY 56
29,M,1301,Seule,3,false,2878 FO 12
31,F,166,Célibataire,0,false,1411 SP 22
45,M,577,En Couple,0,true,1114 XO 50
26,F,584,En Couple,0,false,5599 MP 34
19,F,519,En Couple,2,false,3665 FF 13
41,M,590,En Couple,1,false,8917 IN 93
44,M,533,En Couple,2,false,5110 KJ 13
37,M,446,En Couple,4,false,8569 QD 39
42,M,729,Célibataire,0,false,4335 VS 73
26,M,577,Seule,2,false,7444 HU 73
24,F,1373,En Couple,1,true,789 RU 79
25,F,1206,En Couple,1,false,1119 NZ 18
81,F,1070,En Couple,3,true,7489 WC 32
21,M,876,En Couple,3,false,1747 DX 80
36,M,478,Célibataire,0,false,8688 DA 88
49,F,547,En Couple,0,true,1615 HJ 80
24,F,1283,Célibataire,0,false,2784 TJ 77
78,M,524,En Couple,4,false,7985 PH 70
23,M,484,Célibataire,0,false,2864 TN 12
41,F,710,Célibataire,0,false,2827 CU 13
61,M,509,En Couple,1,false,3475 IA 10
32,F,1062,En Couple,0,false,5823 HE 89
46,M,526,En Couple,0,false,6061 EY 15
40,F,548,Célibataire,0,false,1187 VW 73
44,M,546,En Couple,3,false,2980 DP 13
79,M,217,Célibataire,0,false,2814 AW 67
26,M,785,Célibataire,0,false,5616 VD 72
70,M,206,En Couple,3,false,5976 ZU 87
34,M,208,Célibataire,0,false,2314 KH 55
34,M,1207,Célibataire,0,false,7901 YV 89
61,M,524,Célibataire,0,false,9120 IQ 40
45,M,179,Célibataire,0,false,6250 AX 34
40,F,1132,En Couple,1,false,3151 KV 64
27,F,568,Seule,2,false,7070 WU 82
18,M,570,En Couple,1,false,855 DT 15
84,M,173,Célibataire,0,false,8586 BS 12
44,M,180,Célibataire,0,false,4331 UF 21
77,M,555,Célibataire,0,false,5329 OM 73
39,M,525,Célibataire,0,false,2413 OW 91
34,M,400,En Couple,2,false,7048 FT 60
59,M,471,Célibataire,0,false,2166 CH 97
22,M,1083,Célibataire,0,false,5414 LQ 96
34,F,504,En Couple,0,true,2235 AF 97
42,M,547,En Couple,2,false,5685 UH 30
39,M,205,Célibataire,0,false,8664 SK 31
63,M,449,En Couple,3,false,1807 PE 30
78,F,437,En Couple,1,false,5657 KB 24
29,M,436,En Couple,2,false,6913 JG 76
29,Masculin,496,En Couple,0,false,5243 UF 33
29,F,410,En Couple,2,false,6858 VC 46
67,M,471,Célibataire,0,false,3775 RX 94
26,M,219,Célibataire,0,false,7788 ZQ 20
36,F,559,Célibataire,0,false,9895 QY 69
31,M,1268,En Couple,1,false,5802 PS 92
59,F,968,En Couple,2,false,6439 BK 70
18,F,412,Célibataire,0,false,2056 DT 44
37,F,917,Seule,1,false,596 AD 73
30,F,532,En Couple,1,true,1150 MB 91
21,M,426,En Couple,4,false,8552 KL 95
67,M,244,Seule,2,false,2869 BE 81
27,M,549,Célibataire,0,false,8523 SA 96
25,M,1248,Seul,0,false,1303 FD 90
26,F,1277,En Couple,2,false,2235 KY 15
45,M,248,En Couple,0,false,1986 MU 51
23,F,1005,En Couple,0,false,5557 XQ 14
46,F,423,En Couple,2,false,2182 HV 26
30,M,509,En Couple,0,false,2201 FV 71
39,Femme,936,Célibataire,0,false,3378 AA 14
25,F,599,Célibataire,0,false,6185 BZ 19
19,M,437,Seule,2,false,9338 BA 34
83,M,899,En Couple,4,false,4377 MA 71
38,M,1057,En Couple,2,false,483 QN 21
51,M,793,En Couple,2,false,9984 LQ 89
35,F,486,En Couple,4,true,7541 CO 47
42,M,1116,Célibataire,0,false,5638 XW 20
43,F,222,En Couple,4,false,4056 LD 10
42,F,523,Célibataire,0,false,1076 IB 38
31,M,792,Célibataire,0,false,9127 WW 58
50,F,1282,Célibataire,0,false,518 LM 50
20,F,450,En Couple,3,false,9215 HN 53
29,M,200,En Couple,2,false,4571 PB 41
24,M,990,En Couple,2,false,9552 AY 32
69,M,400,En Couple,1,false,8947 OC 47
41,M,174,Célibataire,0,false,8442 WP 64
39,M,504,En Couple,0,true,816 OA 66
82,F,499,En Couple,2,false,2705 SZ 69
49,M,236,En Couple,3,false,8101 RX 21
58,F,1207,En Couple,1,false,7322 ZV 72
25,M,1101,En Couple,0,false,9257 OJ 20
51,F,599,En Couple,3,false,2459 RJ 88
75,M,446,En Couple,1,false,837 SH 37
22,Homme,491,En Couple,3,false,3470 XR 81
44,F,454,Célibataire,0,false,2817 DK 77
65,F,421,Célibataire,0, ,4717 QM 19
26,M,410,En Couple,2,false,3498 BV 37
60,F,1335,En Couple,0,false,5399 DT 71
38,M,502,En Couple,2,false,2767 BO 73
67,F,513,En Couple,0,false,7578 YI 98
66,N/D,184,En Couple,0,true,4799 WV 83
29,F,1193,Célibataire,0,false,5462 GC 67
32,M,1178,En Couple,0,false,6683 YS 75
36,F,521,En Couple,2,false,1904 AQ 34
50,M,546,En Couple,0,false,9578 KQ 36
19,M,532,En Couple,4,true,1803 YR 80
26,Masculin,500,En Couple,4,false,6032 BH 62
31,M,589,En Couple,3,true,8112 VR 55
32,M,540,En Couple,1,false,2597 GO 33
72,M,415,Seule,1,false,6919 SJ 15
76,M,206,En Couple,4,false,1283 TO 82
54,M,401,En Couple,0,false,587 XN 56
46,M,587,Célibataire,0,false,5288 XB 82
74,Féminin,1150,En Couple,0,false,6186 CT 12
33,M,484,En Couple,2,false,3904 PA 14
52,M,954,En Couple,0,true,9234 LH 32
75,F,447,En Couple,2,false,2571 HC 21
54,M,224,En Couple,1,true,2949 XX 22
76,F,158,En Couple,3,false,3037 ZB 54
27,F,975,En Couple,2,false,8453 UB 55
77,M,209,Célibataire,0,false,8952 DG 18
19,M,439,En Couple,0,false,9816 ES 26
18,M,524,Célibataire,0,false,8995 WB 76
25,M,509,En Couple,3,false,6068 BN 94
40,M,555,Célibataire,0,false,9046 FZ 66
48,M,540,En Couple,2,false,5651 CE 34
83,F,426,Célibataire,0,false,635 MN 51
40,Homme,427,En Couple,4,false,9600 RX 17
20,F,234,En Couple,2,false,5598 PA 22
29,M,524,En Couple,4,true,9480 EV 23
23,M,501,En Couple,4,false,157 BS 42
20,M,203,Célibataire,0,false,5050 BM 56
27,F,445,En Couple,1,false,7369 HK 65
32,F,1077,Célibataire,0,false,2871 TD 17
82,M,413,En Couple,1,false,4627 LG 22
58,M,551,En Couple,1,true,4017 QP 38
57,M,980,En Couple,0,false,7055 EG 16
25,M,491,Célibataire,0,false,3711 IC 36
56,F,454,Célibataire,0,false,4851 TZ 56
63,M,590,En Couple,1,false,3191 LV 12
42,M,1159,En Couple,1,false,7352 FG 22
29,F,513,En Couple,3,false,3827 DF 30
30,M,188,En Couple,2,true,8968 TO 31
56,F,552,En Couple,2,true,7628 VU 59
56,Féminin,587,Célibataire,0,false,3246 EC 25
25,M,226,En Couple,4,false,6113 JF 54
41,F,245,En Couple,3,false,2632 CE 24
23,M,455,Célibataire,0,false,9905 XO 82
26,M,559,En Couple,1,true,6936 KE 77
57,M,425,En Couple,0,false,6412 OV 30
22,F,213,Célibataire,0,false,3662 HH 67
52,F,455,Célibataire,0,false,1221 SV 39
37,F,557,Marié(e),2,false,4495 RE 67
29,M,599,En Couple,0,true,1138 DS 16
42,M,230,En Couple,1,false,6993 IN 86
34,M,726,En Couple,4,false,6602 LI 28
22,M,160,En Couple,4,false,4124 XC 10
47,M,572,Célibataire,0,false,4197 UI 17
19,M,1155,En Couple,0,false,4906 XG 55
57,M,1140,En Couple,1,false,896 ZU 44
45,F,152,En Couple,0,false,3270 IF 97
38,F,536,En Couple,0,true,7782 XY 42
29,M,177,En Couple,1,false,1969 KD 51
38,F,560,En Couple,2,false,4391 DE 51
40,F,402,En Couple,4,false,2920 PB 38
70,M,573,En Couple,1,false,5924 JO 14
19,M,535,En Couple,3,true,5374 VH 92
49,M,856,Célibataire,0,false,6448 MS 26
45,M,421,En Couple,0,false,5992 VF 31
40,M,466,En Couple,0,false,5728 LC 64
33,M,404,En Couple,2,false,6156 MG 62
46,F,208,En Couple,0,false,3196 FB 78
32,F,1058,En Couple,1,false,2944 LD 48
72,F,1292,Seule,3,false,1995 HU 30
25,M,578,En Couple,1,false,1201 EQ 91
25,M,163,Seule,2,false,4106 TT 68
26,M,222,Seule,3,false,7800 BA 88
45,Homme,988,Célibataire,0,false,2245 HE 16
38,M,559,En Couple,1,false,4326 BC 44
21,M,548,Célibataire,0,false,7084 GG 24
55,F,741,En Couple,2,false,8457 QW 20
23,F,887,En Couple,1,true,8863 QD 83
19,M,1117,En Couple,0,true,6260 ZD 86
79,M,562,En Couple,0,true,3426 WR 84
42,M,191,En Couple,0,false,5755 UK 39
18,M,188,En Couple,4,false,1401 JS 33
26,M,218,En Couple,1,true,7267 KO 81
39,F,779,En Couple,3,true,5612 XL 64
49,F,529,Célibataire,0,false,2950 DS 52
51,M,188,En Couple,1,false,548 SA 72
69,M,506,En Couple,0,true,3149 MX 81
33,M,178,En Couple,4,false,4075 KI 76
57,M,449,En Couple,1,false,9459 TB 56
72,M,470,En Couple,3,false,8624 RP 46
35,M,868,En Couple,3,false,6520 JS 57
77,F,881,En Couple,0,false,4080 CJ 34
32,M,1254,En Couple,3,false,4907 ED 38
24,M,580,En Couple,3,false,8862 LW 84
74,M,155,Célibataire,0,false,9711 FO 33
18,F,185,Célibataire,0,false,1371 XI 77
53,F,528,Célibataire,0,false,5526 WJ 79
31,F,172,En Couple,4,false,4877 WR 39
26,M,485,En Couple,0,true,7336 VC 24
78,M,583,Célibataire,0,false,1692 OZ 35
36,F,551,En Couple,4,false,2781 JH 20
18,M,475,En Couple,3,false,1584 RY 69
23,M,239,En Couple,0,false,8606 XB 81
31,M,432,En Couple,1,false,1572 CU 41
40,M,1149,En Couple,4,false,1351 OR 18
20,F,519,En Couple,1,true,8886 MD 28
23,M,186,Célibataire,0,false,184 GA 89
64,M,223,En Couple,1,true,2148 NO 38
55,F,213,En Couple,2,true,3023 FV 96
77,F,497,Célibataire,0,false,5951 AI 97
29,M,207,En Couple,1,false,8782 XX 88
53,F,181,En Couple,0,false,4171 NG 89
33,F,529,En Couple,0,false,4491 QF 29
67,M,500,En Couple,4,false,7213 OO 14
44,M,758,En Couple,4,true,1418 PE 85
56,M,503,En Couple,2,false,8619 SB 95
56,M,449,En Couple,2,true,1797 SR 29
52,F,1026,Célibataire,0,false,8079 WJ 51
54,F,207,Célibataire,0,false,9044 OF 83
36,M,526,En Couple,0,false,5828 RT 81
55,F,416,En Couple,0,false,9589 LV 33
31,M,199,En Couple,2,true,8615 MS 64
61,F,430,En Couple,3,false,2372 BY 27
77,F,422,En Couple,3,false,4678 TI 30
42,M,497,En Couple,0,false,2451 AN 54
23,F,225,En Couple,0,false,8644 GM 65
54,M,173,Célibataire,0,false,2707 UI 50
79,F,156,En Couple,1,false,8466 OA 98
83,F,1071,Célibataire,0,false,905 QV 34
39,M,220,Célibataire,0,false,2727 UI 93
72,M,711,Célibataire,0,false,5034 FM 52
57,M,175,En Couple,2,false,2441 VE 38
18,M,207,En Couple,3,false,6798 AI 58
36,F,589,Célibataire,0,false,2737 UH 75
53,M,538,En Couple,1,false,576 EM 17
27,M,589,En Couple,3,true,3611 YO 50
22,M,516,En Couple,0,false,6859 CF 14
48,M,748,En Couple,3,false,6674 WB 39
41,M,1310,En Couple,2,false,4254 YI 44
73,M,533,En Couple,1,false,5720 AZ 17
23,M,544,En Couple,3,false,2025 GB 85
61,F,214,En Couple,0,false,1387 VA 83
23,M,233,En Couple,4,false,2429 AY 35
25,M,1381,En Couple,1,false,5473 YK 42
31,M,1281,En Couple,0,false,5712 IG 35
49,M,870,Célibataire,0,false,1421 RC 84
41,M,463,En Couple,4,true,9254 DT 54
24,M,1076,En Couple,3,false,2150 YD 65
22,M,215,En Couple,2,false,6008 RW 81
18,M,596,En Couple,0,false,903 TI 58
65,M,536,Célibataire,0,false,4944 JY 71
71,M,590,En Couple,1,false,3801 MK 61
22,M,153,En Couple,3,false,5019 ZO 42
47,M,180,En Couple,0,true,1450 NK 33
78,M,440,En Couple,2,true,9893 NV 83
19,F,458,Seule,3,false,6809 BY 12
59,M,222,Célibataire,0,false,5552 QS 38
21,Masculin,570,En Couple,1,true,7526 NN 85
84,M,415,En Couple,3,true,8940 FI 11
21,M,435,En Couple,4,true,8310 RD 89
41,M,484,En Couple,1,true,1408 WN 96
34,M,246,Célibataire,0,false,6077 VA 29
42,M,572,En Couple,3,false,3999 OW 71
52,F,873,Marié(e),3,true,8323 RY 77
50,F,562,En Couple,1,true,9379 YL 58
73,F,1290,En Couple,1,true,8975 PO 24
42,M,490,Célibataire,0,false,5078 DZ 33
61,M,1067,En Couple,1,false,4638 NM 51
39,M,502,En Couple,4,false,4947 HT 29
54,F,192,En Couple,3,false,8684 SU 39
29,M,1181,En Couple,1,false,7705 WL 72
52,M,452,En Couple,1,false,1064 WQ 48
30,F,484,Célibataire,0,false,9463 DL 22
54,M,1281,En Couple,4,false,5876 FU 31
26,F,533,En Couple,3,false,5105 IB 11
51,M,153,En Couple,0,false,115 AS 72
37,M,1095,En Couple,4,true,185 RG 52
39,M,480,Célibataire,0,false,7449 KZ 15
50,M,928,En Couple,0,false,8598 IE 22
80,M,1324,En Couple,1,false,8078 YI 73
52,M,456,En Couple,0,true,1696 HL 40
44,M,400,En Couple,3,true,6443 ZV 83
57,M,210,En Couple,0,true,2497 BX 51
43,M,1283,Célibataire,0,false,5530 IK 22
28,F,411,En Couple,3,false,8261 QC 95
48,M,1317,En Couple,3,false,2249 JT 59
26,M,1352,En Couple,3,false,6474 GF 60
48,M,240,En Couple,0,false,7255 XF 90
52,M,450,En Couple,2,false,4896 NX 67
45,M,245,En Couple,3,true,5510 HI 96
25,M,457,Célibataire,0,false,1354 FI 58
45,F,184,Célibataire,0,false,4951 UA 52
44,M,177,En Couple,2,false,9211 XM 23
18,M,491,En Couple,3,false,1296 JY 78
61,M,1006,En Couple,1,false,3258 IG 93
39,F,542,Célibataire,0,false,6489 LG 90
28,F,498,Célibataire,0,false,109 WC 11
72,M,184,En Couple,0,false,1529 FR 24
80,M,959,En Couple,1,false,1985 PM 52
51,M,1108,En Couple,1,false,2477 QV 84
54,M,241,En Couple,1,true,9936 OU 84
25,M,495,En Couple,3,false,8402 MM 96
59,M,423,Célibataire,0,false,2280 ZR 67
78,M,210,En Couple,1,false,5718 CH 80
79,Femme,937,En Couple,4,false,4459 FZ 50
31,M,469,Célibataire,0,false,3210 BD 44
77,M,857,Célibataire,0,false,5689 MJ 56
33,M,569,En Couple,4,false,6930 VI 56
30,M,528,En Couple,2,false,6007 IG 34
37,F,1121,Célibataire,0,false,9986 MO 72
18,F,454,En Couple,2,true,4154 XE 36
77,M,1265,En Couple,4,false,3362 SX 39
33,M,923,En Couple,2,false,2716 XK 11
